                  Delete,删除
                  Insert,插入
                customers at checkout.,客户在结账时。
      New Attribute,新建属性
      New Category,新建分类
      New Collection,新建商品集
      New Page,新建页面
      title=,标题
© 2022 Evershop. All Rights Reserved.,© 2025 NBCStore. 保留所有权利。
© 2025 Evershop. All Rights Reserved.,© 2025 NBCStore. 保留所有权利。
${amount} lifetime sales,累计销售额 ${amount}
${count} items,共 ${count} 项
${count} orders,${count} 笔订单
${count} products,${count} 件商品
${count} Products,${count} 件商品
${field} is required,请填写${field}
${name} login,${name} 登录
${newValue},${newValue}
${percent}% of orders cancelled,已取消订单占 ${percent}%
${percent}% of orders completed,已完成订单占 ${percent}%
${qty} sold,已售 ${qty} 件
10,10
100,100
150,150
200,200
2FA,双因素认证
404 Page Not Found,404 页面未找到
50,50
A coupon is already applied,已应用优惠券
A list of best selling products,畅销商品列表
A list of customers who have placed the most orders,下单最多的客户列表
Aakkar,Aakkar
Aargau,Aargau
Abia,Abia
Abidjan,Abidjan
Abim,Abim
Abkhazia,Abkhazia
About,关于
Abra,Abra
Abruzzo,Abruzzo
Abseron,Abseron
Abu Zaby,Abu Zaby
Abuja Federal Capital Territory,Abuja Federal Capital Territory
Abyan,Abyan
Accept,接受
Access token,访问令牌
Accessories,配件
Account,账户
Account Information,账户信息
Aceh,Aceh
Achievement,达成
Acquaviva,Acquaviva
Acquisition,获客
Acre,Acre
Actions,操作
Activate,激活
Active,已启用
Active Filters,已选筛选
Activity log,活动日志
Ad Dakhiliyah,Ad Dakhiliyah
Ad Daqahliyah,Ad Daqahliyah
Ad Dawhah,Ad Dawhah
Adamaoua,Adamaoua
Adamawa,Adamawa
Adana,Adana
Adazu novads,Adazu novads
Add address API not available,添加地址接口不可用
Add Category,添加分类
Add Collection,添加商品集
Add Coupon,添加优惠券
Add Customer,添加客户
Add image,添加图片
Add new address,添加新地址
Add option,添加选项
Add Page,添加页面
Add product,添加商品
Add Product,添加商品
Add Products,添加商品
Add products to this category by selecting them from the list below.,从下方列表选择商品添加到本分类。
Add Shipping Method,添加配送方式
Add some items to get started,添加商品即可开始购物
Add Tax Rate,添加税率
Add to cart,加入购物车
Add to Cart,加入购物车
ADD TO CART,加入购物车
Add to collection,加入商品集
Add Variant,添加规格
Add Widget,添加小部件
Adding...,添加中…
Additional images,附加图片
Address,地址
Address 2,地址 2
Address Book,地址簿
Address has been deleted successfully!,地址已删除！
Address has been saved successfully!,地址已保存！
Address has been updated successfully!,地址已更新！
Address is required,请填写地址
Adis Abeba,Adis Abeba
Adiyaman,Adiyaman
Adjumani,Adjumani
Admin credit,管理员入账
Admin dashboard overview,管理后台首页概览
Admin debit,管理员扣款
Admin Login,管理员登录
Administrator,管理员
Adrar,Adrar
Ads,广告
"Adygeya, Respublika","Adygeya, Respublika"
Afar,Afar
Affiliate,联盟
Afghanistan,Afghanistan
After,晚于
Afyonkarahisar,Afyonkarahisar
Agadez,Agadez
Agago,Agago
Agcabadi,Agcabadi
Agdam,Agdam
Agdas,Agdas
Aglonas novads,Aglonas novads
Agri,Agri
Agstafa,Agstafa
Agsu,Agsu
Aguascalientes,Aguascalientes
Agusan del Norte,Agusan del Norte
Agusan del Sur,Agusan del Sur
Ahal,Ahal
Ahuachapan,Ahuachapan
Aichi,Aichi
Ailinglaplap,Ailinglaplap
Ailuk,Ailuk
Aimeliik,Aimeliik
Ain Defla,Ain Defla
Ain Temouchent,Ain Temouchent
Airai,Airai
Aisen del General Carlos Ibanez del Campo,Aisen del General Carlos Ibanez del Campo
Aizkraukles novads,Aizkraukles novads
Aizputes novads,Aizputes novads
Ajaria,Ajaria
Ajdovscina,Ajdovscina
Akershus,Akershus
Akita,Akita
Aklan,Aklan
Aksaray,Aksaray
Akwa Ibom,Akwa Ibom
Al Ahmadi,Al Ahmadi
Al Anbar,Al Anbar
Al Awsat,Al Awsat
Al Bahah,Al Bahah
Al Bahr al Ahmar,Al Bahr al Ahmar
Al Basrah,Al Basrah
Al Buhayrah,Al Buhayrah
Al Buraymi,Al Buraymi
Al Butnan,Al Butnan
Al Farwaniyah,Al Farwaniyah
Al Fayyum,Al Fayyum
Al Fujayrah,Al Fujayrah
Al Gharbiyah,Al Gharbiyah
Al Hasakah,Al Hasakah
Al Hudaydah,Al Hudaydah
Al Hudud ash Shamaliyah,Al Hudud ash Shamaliyah
Al Iskandariyah,Al Iskandariyah
Al Jabal al Akhdar,Al Jabal al Akhdar
Al Jabal al Gharbi,Al Jabal al Gharbi
Al Jafarah,Al Jafarah
Al Jahra,Al Jahra
Al Janubi,Al Janubi
Al Jawf,Al Jawf
Al Jizah,Al Jizah
Al Jufrah,Al Jufrah
Al Karak,Al Karak
Al Khawr wa adh Dhakhirah,Al Khawr wa adh Dhakhirah
Al Kufrah,Al Kufrah
Al Ladhiqiyah,Al Ladhiqiyah
Al Madinah al Munawwarah,Al Madinah al Munawwarah
Al Mafraq,Al Mafraq
Al Mahrah,Al Mahrah
Al Mahwit,Al Mahwit
Al Marj,Al Marj
Al Marqab,Al Marqab
Al Minufiyah,Al Minufiyah
Al Minya,Al Minya
Al Muharraq,Al Muharraq
Al Muthanna,Al Muthanna
Al Qadisiyah,Al Qadisiyah
Al Qahirah,Al Qahirah
Al Qalyubiyah,Al Qalyubiyah
Al Qasim,Al Qasim
Al Qunaytirah,Al Qunaytirah
Al Uqsur,Al Uqsur
Al Wadi al Jadid,Al Wadi al Jadid
Al Wahat,Al Wahat
Al Wakrah,Al Wakrah
Al Wusta,Al Wusta
Alabama,Alabama
Alagoas,Alagoas
Alajuela,Alajuela
Åland Islands,Åland Islands
Alaska,Alaska
Alba,Alba
Albania,Albania
Albay,Albay
Alberta,Alberta
Alborz,Alborz
Alebtong,Alebtong
Alger,Alger
Algeria,Algeria
Ali Sabieh,Ali Sabieh
Alibori,Alibori
Alifu Alifu,Alifu Alifu
All,全部
Allow backorders,允许缺货下单
Allow guest checkout,允许游客结账
Almaty,Almaty
Almaty oblysy,Almaty oblysy
Alojas novads,Alojas novads
Already exists,已存在
Already have an account?,已有账户？
Alta Verapaz,Alta Verapaz
"Altay, Respublika","Altay, Respublika"
Altayskiy kray,Altayskiy kray
Alto Paraguay,Alto Paraguay
Alto Parana,Alto Parana
Aluksnes novads,Aluksnes novads
Alytaus apskritis,Alytaus apskritis
Amambay,Amambay
Amapa,Amapa
Amara,Amara
Amasya,Amasya
Amazonas,Amazonas
American Samoa,American Samoa
Ammochostos,Ammochostos
Amnat Charoen,Amnat Charoen
Amolatar,Amolatar
Amount,金额
Amudat,Amudat
Amuria,Amuria
Amuru,Amuru
An Giang,An Giang
An Najaf,An Najaf
An Nuqat al Khams,An Nuqat al Khams
An unexpected error occurred. Please try again.,发生意外错误，请重试。
Analytics,分析
Anambra,Anambra
Anatoliki Makedonia kai Thraki,Anatoliki Makedonia kai Thraki
Ancash,Ancash
Andalucia,Andalucia
Andaman and Nicobar Islands,Andaman and Nicobar Islands
Andhra Pradesh,Andhra Pradesh
Andijon,Andijon
Andorra,Andorra
Andorra la Vella,Andorra la Vella
Anenii Noi,Anenii Noi
Ang Thong,Ang Thong
Angaur,Angaur
Angola,Angola
Anguilla,Anguilla
Anhui,安徽省
Anjouan,Anjouan
Ankara,Ankara
Annaba,Annaba
Annobon,Annobon
Ansaba,Ansaba
Anse la Raye,Anse la Raye
Answers,答案
Antalya,Antalya
Antananarivo,Antananarivo
Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda
Antioquia,Antioquia
Antique,Antique
Antofagasta,Antofagasta
Antsiranana,Antsiranana
Antwerpen,Antwerpen
Any,任意
Anzoategui,Anzoategui
Aomori,Aomori
AOV,客单价
Apac,Apac
Apayao,Apayao
API,API
API key,API 密钥
Appearance,外观
Appenzell Ausserrhoden,Appenzell Ausserrhoden
Appenzell Innerrhoden,Appenzell Innerrhoden
Applies to,适用于
Apply,应用
Apply Filters,应用筛选
Apply to,应用于
Apure,Apure
Apurimac,Apurimac
Aqmola oblysy,Aqmola oblysy
Aqtobe oblysy,Aqtobe oblysy
Ar Raqqah,Ar Raqqah
Ar Rayyan,Ar Rayyan
Ar Riyad,Ar Riyad
Aracinovo,Aracinovo
Arad,Arad
Aragacotn,Aragacotn
Aragon,Aragon
Aragua,Aragua
Ararat,Ararat
Arauca,Arauca
Arbil,Arbil
Archive,归档
Ardabil,Ardabil
Ardahan,Ardahan
Are you sure you want to mark the selected orders as shipped?,确定将所选订单标记为已发货吗？
Are you sure?,确定吗？
Arequipa,Arequipa
Argentina,Argentina
Arges,Arges
Arhangay,Arhangay
Arica y Parinacota,Arica y Parinacota
Arima,Arima
Arizona,Arizona
Arkansas,Arkansas
Armavir,Armavir
Armenia,Armenia
Arno,Arno
Arta,Arta
Artemisa,Artemisa
Artibonite,Artibonite
Artigas,Artigas
Artvin,Artvin
Arua,Arua
Aruba,Aruba
Arunachal Pradesh,Arunachal Pradesh
Arusha,Arusha
As Sulaymaniyah,As Sulaymaniyah
As Suways,As Suways
Ascension,Ascension
Ash Shamal,Ash Shamal
Ash Shamaliyah,Ash Shamaliyah
Ash Shariqah,Ash Shariqah
Ash Sharqiyah,Ash Sharqiyah
Ashanti,Ashanti
Assaba,Assaba
Assam,Assam
Assets,资源
Astana,Astana
Astara,Astara
"Asturias, Principado de","Asturias, Principado de"
Asuncion,Asuncion
Aswan,Aswan
Asyut,Asyut
At Tafilah,At Tafilah
Atacama,Atacama
Atacora,Atacora
Atlantico,Atlantico
Atlantico Norte,Atlantico Norte
Atlantico Sur,Atlantico Sur
Atlantida,Atlantida
Atlantique,Atlantique
Attachments,附件
Attapu,Attapu
Attard,Attard
Attiki,Attiki
Attribute,属性
Attribute code is required,请填写属性代码
Attribute code is used in API and must be unique,属性代码用于 API，且必须唯一
Attribute created successfully!,属性创建成功！
Attribute group,属性组
Attribute Group,属性组
Attribute groups,属性组
Attribute Name,属性名称
Attribute name is required,请填写属性名称
Attribute options,属性选项
Attributes,属性
Atua,Atua
Atyrau oblysy,Atyrau oblysy
Auckland,Auckland
Audiences,受众
Audit log,审计日志
Aur,Aur
Aurora,Aurora
Aust-Agder,Aust-Agder
Australia,澳大利亚
Australian Capital Territory,Australian Capital Territory
Austria,Austria
Austurland,Austurland
Authorization code,授权码
Authorize only,仅授权
Authorized,已授权
Auto sync,自动同步
Auvergne-Rhone-Alpes,Auvergne-Rhone-Alpes
Available balance,可用余额
Available shipping methods will appear once you provide your address details,填写地址后将显示可用配送方式
Aveiro,Aveiro
Avtonomna Respublika Krym,Avtonomna Respublika Krym
Awdal,Awdal
Ayacucho,Ayacucho
Aydin,Aydin
Ayeyarwady,Ayeyarwady
Az Zahirah,Az Zahirah
Az Zawiyah,Az Zawiyah
Azad Kashmir,Azad Kashmir
Azarbayjan-e Gharbi,Azarbayjan-e Gharbi
Azarbayjan-e Sharqi,Azarbayjan-e Sharqi
Azerbaijan,Azerbaijan
Azua,Azua
Azuay,Azuay
Baa,Baa
Baalbek-Hermel,Baalbek-Hermel
Baat Dambang,Baat Dambang
Babil,Babil
Babites novads,Babites novads
Bac Giang,Bac Giang
Bac Kan,Bac Kan
Bac Lieu,Bac Lieu
Bac Ninh,Bac Ninh
Bacau,Bacau
Back To Dashboard,返回控制台
Back to list,返回列表
Back to orders,返回订单
Back to products,返回商品
Backup codes,备用码
Bacs-Kiskun,Bacs-Kiskun
Bad gateway,网关错误
Bad request,错误请求
Badakhshan,Badakhshan
Baden-Wurttemberg,Baden-Wurttemberg
Badges,徽章
Badghis,Badghis
Bafata,Bafata
Baghdad,Baghdad
Baghlan,Baghlan
Bagmati,Bagmati
Bago,Bago
Bahamas,Bahamas
Bahia,Bahia
Bahr el Gazel,Bahr el Gazel
Bahrain,Bahrain
Baja California,Baja California
Baja California Sur,Baja California Sur
Baja Verapaz,Baja Verapaz
Baki,Baki
Bakool,Bakool
Balaka,Balaka
Balakan,Balakan
Balance,余额
Bale,Bale
Bali,Bali
Balikesir,Balikesir
Balkan,Balkan
Balkh,Balkh
Balochistan,Balochistan
Balti,Balti
Baltinavas novads,Baltinavas novads
Balvu novads,Balvu novads
Balzan,Balzan
Balzers,Balzers
Bam,Bam
Bamako,Bamako
Bamingui-Bangoran,Bamingui-Bangoran
Bamyan,Bamyan
Ban,封禁
Banaadir,Banaadir
Banghazi,Banghazi
Bangladesh,Bangladesh
Bangui,Bangui
Bani Suwayf,Bani Suwayf
Banjul,Banjul
Banskobystricky kraj,Banskobystricky kraj
Banteay Mean Chey,Banteay Mean Chey
Banten,Banten
Banwa,Banwa
Baoruco,Baoruco
Bar,Bar
Barahona,Barahona
Baranya,Baranya
Barbados,Barbados
Barcode,条形码
Barda,Barda
Bari,Bari
Barinas,Barinas
Baringo,Baringo
Barisal,Barisal
Bartin,Bartin
Bas-Sassandra,Bas-Sassandra
Bas-Uele,Bas-Uele
Basarabeasca,Basarabeasca
Base calculation address,计税基准地址
Basel-Landschaft,Basel-Landschaft
Basel-Stadt,Basel-Stadt
"Bashkortostan, Respublika","Bashkortostan, Respublika"
Basic configuration,基本配置
Basilan,Basilan
Basilicata,Basilicata
Basse-Kotto,Basse-Kotto
Bataan,Bataan
Batanes,Batanes
Batangas,Batangas
Batha,Batha
Batken,Batken
Batman,Batman
Batna,Batna
Batys Qazaqstan oblysy,Batys Qazaqstan oblysy
Bauchi,Bauchi
Bauskas novads,Bauskas novads
Bay,Bay
Bay of Plenty,Bay of Plenty
Bayan-Olgiy,Bayan-Olgiy
Bayanhongor,Bayanhongor
Bayburt,Bayburt
Bayelsa,Bayelsa
Bayern,Bayern
Bayqongyr,Bayqongyr
Bazega,Bazega
BCC,密送
Bechar,Bechar
Before,早于
Beige,米色
Beijing,北京市
Beja,Beja
Bejaia,Bejaia
Bekes,Bekes
Belait,Belait
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Ben Arous,Ben Arous
Ben Tre,Ben Tre
Bender,Bender
Benefits,权益
Bengkulu,Bengkulu
Bengo,Bengo
Benguela,Benguela
Benguet,Benguet
Benin,Benin
Benue,Benue
Beograd,Beograd
Beqaa,Beqaa
Berat,Berat
Berea,Berea
Berlin,Berlin
Bermuda,Bermuda
Bern,Bern
Berovo,Berovo
Best customers,优质客户
Best Sellers,畅销榜
Bethlehem,Bethlehem
Between,介于
Beverinas novads,Beverinas novads
Beyla,Beyla
Beylaqan,Beylaqan
Beyrouth,Beyrouth
Bheri,Bheri
Bhutan,Bhutan
Bie,Bie
Bihar,Bihar
Bihor,Bihor
Bikini and Kili,Bikini and Kili
Bilasuvar,Bilasuvar
Bilecik,Bilecik
Billing,账单
Billing address,账单地址
Billing Address,账单地址
Bingol,Bingol
Binh Dinh,Binh Dinh
Binh Duong,Binh Duong
Binh Phuoc,Binh Phuoc
Binh Thuan,Binh Thuan
Binshangul Gumuz,Binshangul Gumuz
Biobio,Biobio
Bioko Norte,Bioko Norte
Bioko Sur,Bioko Sur
Biombo,Biombo
Birgu,Birgu
Birkirkara,Birkirkara
Birzebbuga,Birzebbuga
Bishkek,Bishkek
Biskra,Biskra
Bissau,Bissau
Bistrita-Nasaud,Bistrita-Nasaud
Bitlis,Bitlis
Bitola,Bitola
Bizerte,Bizerte
Bjelovarsko-bilogorska zupanija,Bjelovarsko-bilogorska zupanija
Black,黑色
Black River,Black River
Blagoevgrad,Blagoevgrad
Blantyre,Blantyre
Bled,Bled
Blekinge lan,Blekinge lan
Blida,Blida
Block,屏蔽
Blocks,区块
Blue,蓝色
Blue Nile,Blue Nile
Boa Vista,Boa Vista
Boaco,Boaco
Bocas del Toro,Bocas del Toro
Body,正文
Boffa,Boffa
Bogdanci,Bogdanci
Bogovinje,Bogovinje
Bohinj,Bohinj
Bohol,Bohol
Boke,Boke
Bokeo,Bokeo
Bolama,Bolama
Bolikhamxai,Bolikhamxai
Bolivar,Bolivar
Bolivia,Bolivia
Bolu,Bolu
Bomet,Bomet
Bomi,Bomi
Bonaire,Bonaire
Bong,Bong
Boqueron,Boqueron
Bordj Bou Arreridj,Bordj Bou Arreridj
Borgou,Borgou
Borkou,Borkou
Bormla,Bormla
Borno,Borno
Borovnica,Borovnica
Borski okrug,Borski okrug
Borsod-Abauj-Zemplen,Borsod-Abauj-Zemplen
Bosilovo,Bosilovo
Bosnia and Herzegovina,Bosnia and Herzegovina
Botosani,Botosani
Botswana,Botswana
Bouenza,Bouenza
Bougainville,Bougainville
Bougouriba,Bougouriba
Bouira,Bouira
Boulgou,Boulgou
Boulkiemde,Boulkiemde
Boumerdes,Boumerdes
Bounce rate,跳出率
Bourgogne-Franche-Comte,Bourgogne-Franche-Comte
Bouvet Island,Bouvet Island
Bovec,Bovec
Boyaca,Boyaca
Brabant wallon,Brabant wallon
Braga,Braga
Braganca,Braganca
Braila,Braila
Brakna,Brakna
Brand,品牌
Brandenburg,Brandenburg
Branicevski okrug,Branicevski okrug
Brasov,Brasov
Bratislavsky kraj,Bratislavsky kraj
Brava,Brava
Brazil,巴西
Brazzaville,Brazzaville
Breadcrumb,面包屑
Bremen,Bremen
Bretagne,Bretagne
Brezice,Brezice
Brezovica,Brezovica
Briceni,Briceni
British Columbia,British Columbia
British Indian Ocean Territory,British Indian Ocean Territory
British Virgin Islands,British Virgin Islands
Brocenu novads,Brocenu novads
Brodsko-posavska zupanija,Brodsko-posavska zupanija
Brokopondo,Brokopondo
Brong-Ahafo,Brong-Ahafo
Brunei,Brunei
Brunei-Muara,Brunei-Muara
Brussels Hoofdstedelijk Gewest,Brussels Hoofdstedelijk Gewest
Brvenica,Brvenica
Bubanza,Bubanza
Bucuresti,Bucuresti
Budaka,Budaka
Budapest,Budapest
Bududa,Bududa
Budva,Budva
Buenos Aires,Buenos Aires
Bugiri,Bugiri
Buikwe,Buikwe
Bujumbura Mairie,Bujumbura Mairie
Bukedea,Bukedea
Bukidnon,Bukidnon
Bukomansibi,Bukomansibi
Bukwa,Bukwa
Bulacan,Bulacan
Bulambuli,Bulambuli
Bulawayo,Bulawayo
Bulgan,Bulgan
Bulgaria,Bulgaria
Buliisa,Buliisa
Bundibugyo,Bundibugyo
Bundle products,捆绑商品
Bungoma,Bungoma
Burdur,Burdur
Burgas,Burgas
Burgenland,Burgenland
Buri Ram,Buri Ram
Burkina Faso,Burkina Faso
Bursa,Bursa
Burundi,Burundi
Bururi,Bururi
"Buryatiya, Respublika","Buryatiya, Respublika"
Busan-gwangyeoksi,Busan-gwangyeoksi
Bushehr,Bushehr
Bushenyi,Bushenyi
Busia,Busia
Buskerud,Buskerud
Butaleja,Butaleja
Butha-Buthe,Butha-Buthe
Buvuma,Buvuma
Buxoro,Buxoro
Buy qty,购买数量
Buy X get Y,买 X 送 Y
Buyende,Buyende
Buzau,Buzau
Ca Mau,Ca Mau
Caaguazu,Caaguazu
Caazapa,Caazapa
Cabanas,Cabanas
Cabinda,Cabinda
Cabo Delgado,Cabo Delgado
Cabrayil,Cabrayil
CAC,获客成本
Cache,缓存
Cacheu,Cacheu
Cagayan,Cagayan
Cahul,Cahul
Cajamarca,Cajamarca
Calabria,Calabria
Calarasi,Calarasi
Calculate API endpoint,计算 API 端点
Calculation Type,计算类型
Caldas,Caldas
California,California
Calilabad,Calilabad
Callback URL,回调 URL
Camaguey,Camaguey
Camarines Norte,Camarines Norte
Camarines Sur,Camarines Sur
Cambodia,Cambodia
Cameroon,Cameroon
Camiguin,Camiguin
Campaigns,活动
Campania,Campania
Campeche,Campeche
Can not process payment. Please try again later.,无法处理付款，请稍后重试。
Can Tho,Can Tho
Can't be undone,此操作无法撤销。
Can\,Can\
Canada,加拿大
Canakkale,Canakkale
Canar,Canar
Canarias,Canarias
Cancel,取消
Cancel Order,取消订单
Cancel subscription,取消订阅
Cancel URL,取消 URL
Canceled,已取消
Cancelled,已取消
Canelones,Canelones
Canillo,Canillo
Canindeyu,Canindeyu
Cankiri,Cankiri
Cankuzo,Cankuzo
Cannot add billing address: cart not initialized,无法添加账单地址：购物车未初始化
Cannot add contact info: cart not initialized,无法添加联系信息：购物车未初始化
Cannot add payment method: cart not initialized,无法添加支付方式：购物车未初始化
Cannot add shipping address: cart not initialized,无法添加收货地址：购物车未初始化
Cannot add shipping method: cart not initialized,无法添加配送方式：购物车未初始化
